date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:02:09	8822/8822	---M--	200	added ('OK')	image/png	etag:%225ef2fdec-2276%22	https://cdn.playerzpot.com/images/walkThrough-4.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/walkThrough-4.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:09	54437/54437	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:08%20GMT	https://playerzpot.com/how-to-win/cricket	C:/Users/Real11/Desktop/test/playerzpot.com/how-to-win/cricket.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:10	274245/274245	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:09%20GMT	https://playerzpot.com/how-to-play/cricket	C:/Users/Real11/Desktop/test/playerzpot.com/how-to-play/cricket.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:10	108773/108773	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:09%20GMT	https://playerzpot.com/	C:/Users/Real11/Desktop/test/playerzpot.com/index.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:10	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2010%20Feb%202021%2010:32:09%20GMT	https://playerzpot.com/offers	C:/Users/Real11/Desktop/test/playerzpot.com/offers.45.delayed	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:11	7376/7376	---M--	200	added ('OK')	image/png	etag:%225d049e33-1cd0%22	https://cdn.playerzpot.com//images/check-offers.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/check-offers.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:11	39762/39762	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:10%20GMT	https://playerzpot.com/offers/	C:/Users/Real11/Desktop/test/playerzpot.com/offers/index.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:11	23430/23430	---M--	200	added ('OK')	image/png	etag:%225d049e58-5b86%22	https://cdn.playerzpot.com//images/mascot-new-img.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/mascot-new-img.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:12	2352/2352	---M--	200	added ('OK')	image/png	etag:%225cbacb2f-930%22	https://cdn.playerzpot.com//images/Android-button-new.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/Android-button-new.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:19	5871/5871	---M--	200	added ('OK')	image/png	etag:%225d146959-16ef%22	https://cdn.playerzpot.com//images/ios-button-new.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/ios-button-new.png	(from https://playerzpot.com/fantasy-sports-app-download)
